Ann Date,Ticker,event_id
2025-05-01,AAPL,AAPL | 2025-05-01
2025-01-30,AAPL,AAPL | 2025-01-30
2024-10-31,AAPL,AAPL | 2024-10-31
2024-08-01,AAPL,AAPL | 2024-08-01
2024-05-02,AAPL,AAPL | 2024-05-02
2024-02-01,AAPL,AAPL | 2024-02-01
2023-11-02,AAPL,AAPL | 2023-11-02
2023-08-03,AAPL,AAPL | 2023-08-03
2023-05-04,AAPL,AAPL | 2023-05-04
2023-02-02,AAPL,AAPL | 2023-02-02
2022-10-27,AAPL,AAPL | 2022-10-27
2022-07-28,AAPL,AAPL | 2022-07-28
2022-04-28,AAPL,AAPL | 2022-04-28
2022-01-27,AAPL,AAPL | 2022-01-27
2021-10-28,AAPL,AAPL | 2021-10-28
2021-07-27,AAPL,AAPL | 2021-07-27
2021-04-28,AAPL,AAPL | 2021-04-28
2021-01-27,AAPL,AAPL | 2021-01-27
2020-10-29,AAPL,AAPL | 2020-10-29
2020-07-30,AAPL,AAPL | 2020-07-30
2020-04-30,AAPL,AAPL | 2020-04-30
2020-01-28,AAPL,AAPL | 2020-01-28
2019-10-30,AAPL,AAPL | 2019-10-30
2019-07-30,AAPL,AAPL | 2019-07-30
2019-04-30,AAPL,AAPL | 2019-04-30
2019-01-29,AAPL,AAPL | 2019-01-29
2018-11-01,AAPL,AAPL | 2018-11-01
2018-07-31,AAPL,AAPL | 2018-07-31
2018-05-01,AAPL,AAPL | 2018-05-01
2018-02-01,AAPL,AAPL | 2018-02-01
2017-11-02,AAPL,AAPL | 2017-11-02
2017-08-01,AAPL,AAPL | 2017-08-01
2017-05-02,AAPL,AAPL | 2017-05-02
2017-01-31,AAPL,AAPL | 2017-01-31
2016-10-25,AAPL,AAPL | 2016-10-25
2016-07-26,AAPL,AAPL | 2016-07-26
2016-04-26,AAPL,AAPL | 2016-04-26
2016-01-26,AAPL,AAPL | 2016-01-26
2015-10-27,AAPL,AAPL | 2015-10-27
2015-07-21,AAPL,AAPL | 2015-07-21
2015-04-27,AAPL,AAPL | 2015-04-27
2015-01-27,AAPL,AAPL | 2015-01-27
2014-10-20,AAPL,AAPL | 2014-10-20
2014-07-22,AAPL,AAPL | 2014-07-22
2014-04-23,AAPL,AAPL | 2014-04-23
2025-04-25,ABBV,ABBV | 2025-04-25
2025-01-31,ABBV,ABBV | 2025-01-31
2024-10-30,ABBV,ABBV | 2024-10-30
2024-07-25,ABBV,ABBV | 2024-07-25
2024-04-26,ABBV,ABBV | 2024-04-26
2024-02-02,ABBV,ABBV | 2024-02-02
2023-10-27,ABBV,ABBV | 2023-10-27
2023-07-27,ABBV,ABBV | 2023-07-27
2023-04-27,ABBV,ABBV | 2023-04-27
2023-02-09,ABBV,ABBV | 2023-02-09
2022-10-28,ABBV,ABBV | 2022-10-28
2022-07-29,ABBV,ABBV | 2022-07-29
2022-04-29,ABBV,ABBV | 2022-04-29
2022-02-02,ABBV,ABBV | 2022-02-02
2021-10-29,ABBV,ABBV | 2021-10-29
2021-07-30,ABBV,ABBV | 2021-07-30
2021-04-30,ABBV,ABBV | 2021-04-30
2021-02-03,ABBV,ABBV | 2021-02-03
2020-10-30,ABBV,ABBV | 2020-10-30
2020-07-31,ABBV,ABBV | 2020-07-31
2020-05-01,ABBV,ABBV | 2020-05-01
2020-02-07,ABBV,ABBV | 2020-02-07
2019-11-01,ABBV,ABBV | 2019-11-01
2019-07-26,ABBV,ABBV | 2019-07-26
2019-04-25,ABBV,ABBV | 2019-04-25
2019-01-25,ABBV,ABBV | 2019-01-25
2018-11-02,ABBV,ABBV | 2018-11-02
2018-07-27,ABBV,ABBV | 2018-07-27
2018-04-26,ABBV,ABBV | 2018-04-26
2018-01-26,ABBV,ABBV | 2018-01-26
2017-10-27,ABBV,ABBV | 2017-10-27
2017-07-28,ABBV,ABBV | 2017-07-28
2017-04-27,ABBV,ABBV | 2017-04-27
2017-01-27,ABBV,ABBV | 2017-01-27
2016-10-28,ABBV,ABBV | 2016-10-28
2016-07-29,ABBV,ABBV | 2016-07-29
2016-04-28,ABBV,ABBV | 2016-04-28
2016-01-29,ABBV,ABBV | 2016-01-29
2015-10-30,ABBV,ABBV | 2015-10-30
2015-07-24,ABBV,ABBV | 2015-07-24
2015-04-23,ABBV,ABBV | 2015-04-23
2015-01-30,ABBV,ABBV | 2015-01-30
2014-10-31,ABBV,ABBV | 2014-10-31
2014-07-25,ABBV,ABBV | 2014-07-25
2014-04-25,ABBV,ABBV | 2014-04-25
2025-03-20,ACN,ACN | 2025-03-20
2024-12-19,ACN,ACN | 2024-12-19
2024-09-26,ACN,ACN | 2024-09-26
2024-06-20,ACN,ACN | 2024-06-20
2024-03-21,ACN,ACN | 2024-03-21
2023-12-19,ACN,ACN | 2023-12-19
2023-09-28,ACN,ACN | 2023-09-28
2023-06-22,ACN,ACN | 2023-06-22
2023-03-23,ACN,ACN | 2023-03-23
2022-12-16,ACN,ACN | 2022-12-16
2022-09-22,ACN,ACN | 2022-09-22
2022-06-23,ACN,ACN | 2022-06-23
2022-03-17,ACN,ACN | 2022-03-17
2021-12-16,ACN,ACN | 2021-12-16
2021-09-23,ACN,ACN | 2021-09-23
2021-06-24,ACN,ACN | 2021-06-24
2021-03-18,ACN,ACN | 2021-03-18
2020-12-17,ACN,ACN | 2020-12-17
2020-09-24,ACN,ACN | 2020-09-24
2020-06-25,ACN,ACN | 2020-06-25
2020-03-19,ACN,ACN | 2020-03-19
2019-12-19,ACN,ACN | 2019-12-19
2019-09-26,ACN,ACN | 2019-09-26
2019-06-27,ACN,ACN | 2019-06-27
2019-03-28,ACN,ACN | 2019-03-28
2018-12-20,ACN,ACN | 2018-12-20
2018-09-27,ACN,ACN | 2018-09-27
2018-06-28,ACN,ACN | 2018-06-28
2018-03-22,ACN,ACN | 2018-03-22
2017-12-21,ACN,ACN | 2017-12-21
2017-09-28,ACN,ACN | 2017-09-28
2017-06-22,ACN,ACN | 2017-06-22
2017-03-23,ACN,ACN | 2017-03-23
2016-12-21,ACN,ACN | 2016-12-21
2016-09-29,ACN,ACN | 2016-09-29
2016-06-23,ACN,ACN | 2016-06-23
2016-03-24,ACN,ACN | 2016-03-24
2015-12-17,ACN,ACN | 2015-12-17
2015-09-24,ACN,ACN | 2015-09-24
2015-06-25,ACN,ACN | 2015-06-25
2015-03-26,ACN,ACN | 2015-03-26
2014-12-18,ACN,ACN | 2014-12-18
2014-09-24,ACN,ACN | 2014-09-24
2014-06-26,ACN,ACN | 2014-06-26
2025-03-12,ADBE,ADBE | 2025-03-12
2024-12-11,ADBE,ADBE | 2024-12-11
2024-09-12,ADBE,ADBE | 2024-09-12
2024-06-13,ADBE,ADBE | 2024-06-13
2024-03-14,ADBE,ADBE | 2024-03-14
2023-12-13,ADBE,ADBE | 2023-12-13
2023-09-14,ADBE,ADBE | 2023-09-14
2023-06-15,ADBE,ADBE | 2023-06-15
2023-03-15,ADBE,ADBE | 2023-03-15
2022-12-15,ADBE,ADBE | 2022-12-15
2022-09-15,ADBE,ADBE | 2022-09-15
2022-06-16,ADBE,ADBE | 2022-06-16
2022-03-22,ADBE,ADBE | 2022-03-22
2021-12-16,ADBE,ADBE | 2021-12-16
2021-09-21,ADBE,ADBE | 2021-09-21
2021-06-17,ADBE,ADBE | 2021-06-17
2021-03-23,ADBE,ADBE | 2021-03-23
2020-12-10,ADBE,ADBE | 2020-12-10
2020-09-15,ADBE,ADBE | 2020-09-15
2020-06-11,ADBE,ADBE | 2020-06-11
2020-03-12,ADBE,ADBE | 2020-03-12
2019-12-12,ADBE,ADBE | 2019-12-12
2019-09-17,ADBE,ADBE | 2019-09-17
2019-06-18,ADBE,ADBE | 2019-06-18
2019-03-14,ADBE,ADBE | 2019-03-14
2018-12-13,ADBE,ADBE | 2018-12-13
2018-09-13,ADBE,ADBE | 2018-09-13
2018-06-14,ADBE,ADBE | 2018-06-14
2018-03-15,ADBE,ADBE | 2018-03-15
2017-12-14,ADBE,ADBE | 2017-12-14
2017-09-19,ADBE,ADBE | 2017-09-19
2017-06-20,ADBE,ADBE | 2017-06-20
2017-03-16,ADBE,ADBE | 2017-03-16
2016-12-15,ADBE,ADBE | 2016-12-15
2016-09-20,ADBE,ADBE | 2016-09-20
2016-06-21,ADBE,ADBE | 2016-06-21
2016-03-17,ADBE,ADBE | 2016-03-17
2015-12-10,ADBE,ADBE | 2015-12-10
2015-09-17,ADBE,ADBE | 2015-09-17
2015-06-16,ADBE,ADBE | 2015-06-16
2015-03-17,ADBE,ADBE | 2015-03-17
2014-12-11,ADBE,ADBE | 2014-12-11
2014-09-16,ADBE,ADBE | 2014-09-16
2014-06-17,ADBE,ADBE | 2014-06-17
2025-02-04,AMD,AMD | 2025-02-04
2024-10-29,AMD,AMD | 2024-10-29
2024-07-30,AMD,AMD | 2024-07-30
2024-04-30,AMD,AMD | 2024-04-30
2024-01-30,AMD,AMD | 2024-01-30
2023-10-31,AMD,AMD | 2023-10-31
2023-08-01,AMD,AMD | 2023-08-01
2023-05-02,AMD,AMD | 2023-05-02
2023-01-31,AMD,AMD | 2023-01-31
2022-11-01,AMD,AMD | 2022-11-01
2022-08-02,AMD,AMD | 2022-08-02
2022-05-03,AMD,AMD | 2022-05-03
2022-02-01,AMD,AMD | 2022-02-01
2021-10-26,AMD,AMD | 2021-10-26
2021-07-27,AMD,AMD | 2021-07-27
2021-04-27,AMD,AMD | 2021-04-27
2021-01-26,AMD,AMD | 2021-01-26
2020-10-27,AMD,AMD | 2020-10-27
2020-07-28,AMD,AMD | 2020-07-28
2020-04-28,AMD,AMD | 2020-04-28
2020-01-28,AMD,AMD | 2020-01-28
2019-10-29,AMD,AMD | 2019-10-29
2019-07-30,AMD,AMD | 2019-07-30
2019-04-30,AMD,AMD | 2019-04-30
2019-01-29,AMD,AMD | 2019-01-29
2018-10-24,AMD,AMD | 2018-10-24
2018-07-25,AMD,AMD | 2018-07-25
2018-04-25,AMD,AMD | 2018-04-25
2018-01-30,AMD,AMD | 2018-01-30
2017-10-24,AMD,AMD | 2017-10-24
